Address,PatternWritten,ReadbackValues,Tags
0x00000100,B9125134,"ffffff0f0|000000f0f|fffff0f0f|fffff0f0f|fffff0f0f","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000100,F6108000,"fffff0f0f|000005134|fffff5134|fffff5134|fffff5134","FAIL|NEAR-LAG-1 (exp:B9125134,hd:7)|FAIL|FAIL|FAIL"
0x00000100,D9285A15,"fffff5134|000008000|fffff8000|fffff8000|fffff8000","FAIL|NEAR-LAG-1 (exp:F6108000,hd:7)|FAIL|FAIL|FAIL"
0x00000100,BB93024A,"fffff8000|000005a15|fffff5a15|fffff5a15|fffff5a15","FAIL|NEAR-LAG-1 (exp:D9285A15,hd:7)|FAIL|FAIL|FAIL"
0x00000100,996B0914,"fffff5a15|00000024a|fffff024a|fffff024a|fffff024a","FAIL|NEAR-LAG-14 (exp:00000000,hd:4)|NEAR-LAG-1 (exp:BB93024A,hd:6)|NEAR-LAG-1 (exp:BB93024A,hd:6)|NEAR-LAG-1 (exp:BB93024A,hd:6)"
0x00000100,5AB427C8,"fffff024a|000000914|fffff0914|fffff0914|fffff0914","NEAR-LAG-2 (exp:BB93024A,hd:6)|NEAR-LAG-15 (exp:00000000,hd:4)|NEAR-LAG-1 (exp:996B0914,hd:7)|NEAR-LAG-1 (exp:996B0914,hd:7)|NEAR-LAG-1 (exp:996B0914,hd:7)"
0x00000100,C74B5E4E,"fffff0914|0000027c8|fffff27c8|fffff27c8|fffff27c8","NEAR-LAG-2 (exp:996B0914,hd:7)|NEAR-LAG-16 (exp:00000000,hd:7)|FAIL|FAIL|FAIL"
0x00000100,116532CC,"fffff27c8|000005e4e|fffff5e4e|fffff5e4e|fffff5e4e","FAIL|FAIL|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)"
0x00000100,22CD0CD0,"fffff5e4e|0000032cc|fffff32cc|fffff32cc|fffff32cc","NEAR-LAG-2 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:116532CC,hd:6)|FAIL|FAIL|FAIL"
0x00000100,E51AAF27,"fffff32cc|000000cd0|fffff0cd0|fffff0cd0|fffff0cd0","FAIL|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|FAIL|FAIL|FAIL"
0x00000100,3ED53DC5,"fffff0cd0|00000af27|fffffaf27|fffffaf27|fffffaf27","FAIL|FAIL|NEAR-LAG-19 (exp:FFFFFFFF,hd:6)|NEAR-LAG-19 (exp:FFFFFFFF,hd:6)|NEAR-LAG-19 (exp:FFFFFFFF,hd:6)"
0x00000100,BFB7D7D7,"fffffaf27|000003dc5|fffff3dc5|fffff3dc5|fffff3dc5","NEAR-LAG-20 (exp:FFFFFFFF,hd:6)|FAIL|NEAR-LAG-1 (exp:3ED53DC5,hd:6)|NEAR-LAG-1 (exp:3ED53DC5,hd:6)|NEAR-LAG-1 (exp:3ED53DC5,hd:6)"
0x00000100,D6D3916F,"fffff3dc5|00000d7d7|fffffd7d7|fffffd7d7|fffffd7d7","NEAR-LAG-2 (exp:3ED53DC5,hd:6)|FAIL|NEAR-LAG-1 (exp:BFB7D7D7,hd:3)|NEAR-LAG-1 (exp:BFB7D7D7,hd:3)|NEAR-LAG-1 (exp:BFB7D7D7,hd:3)"
0x00000100,345CAD84,"fffffd7d7|00000916f|fffff916f|fffff916f|fffff916f","NEAR-LAG-2 (exp:BFB7D7D7,hd:3)|FAIL|NEAR-LAG-1 (exp:D6D3916F,hd:6)|NEAR-LAG-1 (exp:D6D3916F,hd:6)|NEAR-LAG-1 (exp:D6D3916F,hd:6)"
0x00000100,EB6CD0F4,"fffff916f|00000ad84|fffffad84|fffffad84|fffffad84","NEAR-LAG-2 (exp:D6D3916F,hd:6)|NEAR-LAG-1 (exp:345CAD84,hd:7)|FAIL|FAIL|FAIL"
0x000003FC,00000000,"fffffad84|00000d0f4|fffffd0f4|fffffd0f4|fffffd0f4","FAIL|FAIL|FAIL|FAIL|FAIL"
